tur,dosya,kapak,kaynak_boyut,dikeydi,kart_kb,kaynak
pamukkale-hierapolis-turu,pamukkale-hierapolis-turu-01.webp,EVET,7262x4643,,133,gecici
pamukkale-hierapolis-turu,pamukkale-hierapolis-turu-02.webp,,3456x2304,,112,gecici
pamukkale-hierapolis-turu,pamukkale-hierapolis-turu-03.webp,,4928x3264,,115,gecici
pamukkale-hierapolis-turu,pamukkale-hierapolis-turu-04.webp,,2304x3456,EVET,28,gecici
kapadokya-2-gun-turu,kapadokya-2-gun-turu-01.webp,EVET,5712x3840,,58,gecici
kapadokya-2-gun-turu,kapadokya-2-gun-turu-02.webp,,5472x3648,,69,gecici
kapadokya-2-gun-turu,kapadokya-2-gun-turu-03.webp,,3024x4032,EVET,65,gecici
kapadokya-2-gun-turu,kapadokya-2-gun-turu-04.webp,,3303x4953,EVET,60,gecici
koprulu-kanyon-rafting,koprulu-kanyon-rafting-01.webp,EVET,4272x2848,,155,gecici
koprulu-kanyon-rafting,koprulu-kanyon-rafting-02.webp,,8000x5333,,202,gecici
antalya-akvaryum-turu,antalya-akvaryum-turu-01.webp,EVET,3888x5832,EVET,133,gecici
antalya-akvaryum-turu,antalya-akvaryum-turu-02.webp,,3024x4032,EVET,121,gecici
kekova-batik-sehir-tekne-turu,kekova-batik-sehir-tekne-turu-01.webp,EVET,4000x6000,EVET,279,gecici
antalya-sehir-turu,antalya-sehir-turu-01.webp,EVET,6016x4000,,200,gecici
land-of-legends-tema-park,land-of-legends-tema-park-01.webp,EVET,4475x6713,EVET,61,gecici
atv-quad-safari,atv-quad-safari-01.webp,EVET,5712x3808,,81,gecici
adrasan-suluada-tekne-turu,adrasan-suluada-tekne-turu-01.webp,,2000x2500,EVET,60,gecici
